emit_base,emit_proj,emit_diff,soil_base,soil_proj,soil_diff,tree_base,tree_proj,tree_diff,fire_base,fire_proj,fire_diff,lit_base,lit_proj,lit_diff,fert_base,fert_proj,fert_diff,crop_base,crop_proj,crop_diff
0.8701155538728529,11.919572360756359,11.049456806883505,0.6156105741014244,1.3840158124533062,0.7684052383518818,0.0,10.313230851931625,10.313230851931625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.03217928339999998
0.8532375060593513,-18.971924287487475,-19.825161793546826,0.5987325262879228,-13.51261700927438,-14.111349535562303,0.0,-5.681632974584525,-5.681632974584525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.03217928339999998
0.8382808800269625,-7.046685390661007,-7.884966270687969,0.583775900255534,0.8465055181076089,0.2627296178520748,0.0,-8.115516605140044,-8.115516605140044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.03217928339999998
0.8247904897903315,-7.697513857283739,-8.522304347074071,0.570285510018903,0.8866827098450605,0.31639719982615744,0.0,-8.806522263500227,-8.806522263500227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.03217928339999998
0.8124282260123725,-8.390564576771476,-9.202992802783848,0.557923246240944,0.7217833541399852,0.16386010789904115,0.0,-9.33467362728289,-9.33467362728289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.03217928339999998
0.800942793911996,-6.005540744324739,-6.806483538236734,0.5464378141405675,3.7483830876070936,3.201945273466526,0.0,-9.844150775646117,-9.844150775646117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7901470243485378,-0.30245282695910947,-1.0925998513076474,0.5356420445771093,2.675035353221162,2.1393933086440526,0.0,-3.067715123894557,-3.067715123894557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7799017105837369,-9.020312296157078,-9.800214006740815,0.5253967308123084,1.3527098565863866,0.8273131257740782,0.0,-10.46324909645775,-10.46324909645775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7701028037973103,-9.014813273822561,-9.784916077619872,0.5155978240258818,1.9003633327810405,1.3847655087551587,0.0,-11.005403550317887,-11.005403550317887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7606726379497109,-1.6931292936138393,-2.45380193156355,0.5061676581782824,1.4632469835882036,0.9570793254099212,0.0,-3.2466032209163287,-3.2466032209163287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7515530348284951,-11.208759231435204,-11.9603122662637,0.49704805505706656,0.30612991269023837,-0.1909181423668282,0.0,-11.605116087839727,-11.605116087839727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7427004126994472,-10.864971015362222,-11.60767142806167,0.48819543292801865,1.2009828294402585,0.7127873965122398,0.0,-12.156180788516766,-12.156180788516766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7340816112834698,-11.69998487071654,-12.43406648200001,0.4795766315120413,0.90183222796432,0.4222555964522788,0.0,-12.692044042395144,-12.692044042395144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7256703524798436,-12.46616724863755,-13.191837601117394,0.471165372708415,0.6733094745390051,0.20214410183059012,0.0,-13.22970366689084,-13.22970366689084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7174487143548334,5.0889407482794935,4.37149203392466,0.4629437345834048,0.4839019145707155,0.0209581799873107,0.0,4.514811889994492,4.514811889994492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7094018325000851,-14.71549837372757,-15.424900206227655,0.4548968527286566,-1.5164966127555388,-1.9713934654841954,0.0,-13.289228704686316,-13.289228704686316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.7015184659884787,-12.808329459186666,-13.509847925175144,0.4470134862170501,0.9182281258310994,0.47121463961404925,0.0,-13.81678452873205,-13.81678452873205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.6937870727471355,-13.579185046214906,-14.272972118962041,0.4392820929757069,0.6188974473041924,0.17961535432848547,0.0,-14.288309437233384,-14.288309437233384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
0.6862028671150929,-14.244069643851109,-14.930272510966201,0.4316978873436644,0.4078588912984884,-0.023838996045175975,0.0,-14.742155478863882,-14.742155478863882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.0902269437142857,-0.16427803605714286
