temp,rain,evap
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-37329.60000
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-39996.00000
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-39996.00000
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-39996.00000
-999.90000,-999.90000,-41329.20000
-999.90000,-999.90000,-39996.00000
-999.90000,-999.90000,-41329.20000
